sku,description,category,supplier,unit_cost,on_hand,on_order,lead_time_days,moq,demand_sep,demand_oct,demand_nov,demand_dec,demand_jan,demand_feb,demand_mar,demand_apr,demand_may,demand_jun,demand_jul,demand_aug
PA-1014,Corrugated Box 12x8x6,Packaging,Roshan Packages,22.66,1793,0,17,548,733,788,733,668,750,707,662,691,736,697,761,678
PE-1015,Toothpaste 150g,Personal Care,Colgate-Palmolive,1893.26,536,0,16,166,220,207,287,203,235,216,229,196,252,235,201,184
BE-1016,Green Tea 100 Bags,Beverages,Tapal Tea,1216.19,2111,0,11,309,779,824,923,741,860,911,807,912,948,911,880,736
HO-1017,Air Freshener 300ml,Home Care,Unilever Pakistan,596.66,98,97,11,100,188,260,210,287,185,216,208,175,249,239,247,263
FM-1018,Wheat Flour 10kg,FMCG Food,Bisconi Foods,49.12,87,0,6,192,607,778,820,714,603,789,679,677,820,738,685,823
FM-1019,Basmati Rice 5kg,FMCG Food,National Foods,626.59,249,355,14,357,469,557,437,516,614,559,645,435,653,537,618,645
BE-1020,Mineral Water 1.5L x6,Beverages,Tapal Tea,702.45,698,0,11,775,2944,2140,2794,2239,3198,3323,3251,3394,3841,2377,2597,2746
PH-1021,Paracetamol 500mg 10x10,Pharma,Searle Pakistan,33.88,187,0,24,385,792,616,800,665,613,574,772,498,703,1037,946,795
PE-1022,Face Wash 100ml,Personal Care,Unilever Pakistan,1898.39,40,0,12,100,139,89,135,130,122,136,100,143,117,134,125,100
FM-1023,Cooking Oil 5L Tin,FMCG Food,Shan Foods,128.61,713,1387,12,851,1647,2017,2657,2144,3122,3055,2154,2002,1873,3318,2242,2616
HO-1024,Detergent Powder 1kg,Home Care,Colgate-Palmolive,100.78,931,0,21,1116,1843,2023,1895,1502,1354,1573,2050,2121,2697,2712,1875,2914
HO-1025,Floor Cleaner 1L,Home Care,Unilever Pakistan,41.49,3942,0,14,221,429,416,400,414,512,390,460,373,410,397,421,366
PH-1026,Ibuprofen 400mg 20s,Pharma,Getz Pharma,37.88,2888,0,25,100,224,197,197,202,224,211,183,184,179,203,179,190
HO-1027,Air Freshener 300ml,Home Care,Unilever Pakistan,883.35,7818,0,16,215,787,793,935,825,784,893,935,787,791,764,724,828
PA-1028,Stretch Film 500mm,Packaging,Packages Limited,247.58,1155,0,25,100,70,64,70,70,86,89,80,81,61,76,84,73
PA-1029,Shrink Wrap Roll,Packaging,Roshan Packages,17.35,24364,0,23,705,1784,1454,1682,1702,1572,1677,1245,1349,1488,1522,1533,1440
HO-1030,Dishwash Liquid 500ml,Home Care,Unilever Pakistan,134.65,2036,0,12,100,147,152,149,159,119,149,164,141,158,119,124,151
HO-1031,Floor Cleaner 1L,Home Care,Colgate-Palmolive,44.34,587,0,15,100,43,52,59,53,53,55,55,39,57,44,37,54
FM-1032,Red Chilli Powder 200g,FMCG Food,Bisconi Foods,83.64,1597,0,7,100,121,112,132,123,116,148,161,153,110,154,109,139
PH-1033,Cetirizine 10mg 10s,Pharma,Getz Pharma,2356.66,168,0,25,100,51,37,61,55,54,33,2,8,3,3,5,3
BE-1034,Energy Drink 250ml,Beverages,Nestle Pakistan,1008.59,613,0,15,100,228,205,124,202,116,229,26,18,10,8,11,21
BE-1035,Black Tea 950g,Beverages,Nestle Pakistan,120.08,43,0,14,100,11,11,20,12,10,14,3,1,1,1,1,1
HO-1036,Detergent Powder 1kg,Home Care,Unilever Pakistan,1438.43,922,0,15,100,207,235,104,179,169,129,31,32,11,12,16,19
PA-1037,Adhesive Tape 2in,Packaging,Packages Limited,34.48,111,0,26,100,27,21,29,15,26,25,4,3,2,1,3,1
PA-1038,Stretch Film 500mm,Packaging,Packages Limited,98.42,156,0,26,100,64,92,51,53,38,39,6,9,4,5,7,8
PH-1039,Cough Syrup 120ml,Pharma,Getz Pharma,366.33,168,0,27,100,0,0,0,0,0,0,0,0,0,0,0,0
FM-1040,Salt Iodised 800g,FMCG Food,Shan Foods,39.16,362,0,7,100,0,0,0,0,0,0,0,0,0,0,0,0
BE-1041,Mango Juice 1L,Beverages,Tapal Tea,226.52,333,0,11,100,0,0,0,0,0,0,0,0,0,0,0,0
FM-1042,Turmeric Powder 200g,FMCG Food,Bisconi Foods,696.78,359,0,10,100,0,0,0,0,0,0,0,0,0,0,0,0
FM-1043,Biryani Masala 50g,FMCG Food,National Foods,2225.91,152,0,8,100,21,76,132,138,84,22,19,82,143,135,79,24
PA-1044,Carton Label Roll 1000s,Packaging,Roshan Packages,86.95,1382,0,21,322,177,694,1126,1195,744,199,155,630,1203,1174,667,186
PE-1045,Hand Sanitiser 250ml,Personal Care,Colgate-Palmolive,1536.50,741,0,20,100,65,233,404,407,252,77,57,223,409,408,273,72
PH-1046,ORS Sachets 21g,Pharma,Getz Pharma,421.98,584,0,32,100,83,335,575,576,357,88,74,332,564,562,360,87
HO-1047,Bleach 500ml,Home Care,Colgate-Palmolive,526.62,571,0,19,191,76,303,566,626,349,89,77,334,615,595,373,95
HO-1048,Detergent Powder 1kg,Home Care,Colgate-Palmolive,219.54,292,0,18,100,38,142,232,253,140,40,34,148,232,265,161,43
PE-1049,Shaving Cream 70g,Personal Care,Colgate-Palmolive,415.08,3047,0,18,828,1285,1329,1170,1581,1370,1746,1659,1987,1809,1891,1952,2069
BE-1050,Carbonated Cola 1.5L,Beverages,Nestle Pakistan,1416.20,185,0,16,100,81,89,72,100,106,95,85,109,101,102,129,117
BE-1051,Mineral Water 1.5L x6,Beverages,Tapal Tea,126.18,758,0,15,336,375,409,458,361,438,467,446,431,447,505,491,693
BE-1052,Carbonated Cola 1.5L,Beverages,Nestle Pakistan,56.32,915,0,20,222,412,588,495,678,505,635,737,637,794,936,993,719
HO-1053,Bleach 500ml,Home Care,Colgate-Palmolive,39.69,583,0,17,100,186,227,241,268,244,330,316,315,386,385,336,368
FM-1054,Cooking Oil 5L Tin,FMCG Food,Shan Foods,54.18,2437,0,8,526,1201,1290,1051,1350,1228,1677,1394,1767,1829,1637,1670,2122
FM-1055,Tea Whitener 1L,FMCG Food,Bisconi Foods,670.71,511,0,9,100,105,110,74,100,92,86,68,68,49,51,45,26
PE-1056,Shaving Cream 70g,Personal Care,Unilever Pakistan,1927.48,516,0,15,100,139,125,121,110,110,111,91,90,78,56,59,38
PA-1057,Adhesive Tape 2in,Packaging,Packages Limited,101.03,1306,0,29,100,433,539,515,364,332,364,255,270,218,240,188,153
HO-1058,Detergent Powder 1kg,Home Care,Colgate-Palmolive,1029.80,1855,0,20,201,354,422,426,336,348,297,257,195,184,185,126,111
PE-1059,Shampoo 400ml,Personal Care,Colgate-Palmolive,253.92,3885,0,16,277,1405,1397,1192,1146,900,944,704,675,721,602,542,432
PH-1060,Cough Syrup 120ml,Pharma,Searle Pakistan,49.13,5519,0,19,668,1518,1922,1829,1761,1577,1467,1358,1077,893,850,602,644
